Date and Time (UT),"RA (J200, degrees)","Dec (J200, degrees)",apparent magnitude
2457579.659722,247.71691,-22.27601,17.8
2457579.666667,247.71573,-22.27816,17.8
2457579.673611,247.71457,-22.2803,17.8
2457585.659722,247.37241,-24.27725,17.9
2457585.666667,247.37208,-24.27958,17.9
2457585.673611,247.37175,-24.2819,17.9
2457590.659722,247.66465,-26.06997,18
2457590.666667,247.6651,-26.07242,17.9
2457590.673611,247.66555,-26.07486,18
2457594.659722,248.31008,-27.56779,18
2457594.666667,248.31119,-27.57031,18
2457594.673611,248.31231,-27.57282,18
